keyName, totalWorkers, poolSize, methodName, elapsed_h, elapsed_n
"1257705kb", 5000, 60, "benchmarkRedis", 3.9241723s, 3924172300
"1676940kb", 5000, 60, "benchmarkRedis", 5.4116308s, 5411630800
keyName, totalWorkers, poolSize, methodName, elapsed_h, elapsed_n
"419235kb", 5000, 70, "benchmarkRedis", 1.4670494s, 1467049400
"838470kb", 5000, 70, "benchmarkRedis", 2.6015177s, 2601517700
"1257705kb", 5000, 70, "benchmarkRedis", 3.9166578s, 3916657800
"1676940kb", 5000, 70, "benchmarkRedis", 5.3824759s, 5382475900
keyName, totalWorkers, poolSize, methodName, elapsed_h, elapsed_n
"419235kb", 5000, 80, "benchmarkRedis", 1.3989974s, 1398997400
"838470kb", 5000, 80, "benchmarkRedis", 2.6115154s, 2611515400
"1257705kb", 5000, 80, "benchmarkRedis", 3.9242234s, 3924223400
"1676940kb", 5000, 80, "benchmarkRedis", 5.2850843s, 5285084300
keyName, totalWorkers, poolSize, methodName, elapsed_h, elapsed_n
"419235kb", 5000, 90, "benchmarkRedis", 1.3680012s, 1368001200
"838470kb", 5000, 90, "benchmarkRedis", 2.5220768s, 2522076800
"1257705kb", 5000, 90, "benchmarkRedis", 3.885315s, 3885315000
"1676940kb", 5000, 90, "benchmarkRedis", 5.3960303s, 5396030300
keyName, totalWorkers, poolSize, methodName, elapsed_h, elapsed_n
"419235kb", 5000, 100, "benchmarkRedis", 1.4249952s, 1424995200
"838470kb", 5000, 100, "benchmarkRedis", 2.5730207s, 2573020700
"1257705kb", 5000, 100, "benchmarkRedis", 3.9023615s, 3902361500
"1676940kb", 5000, 100, "benchmarkRedis", 5.218921s, 5218921000
keyName, totalWorkers, poolSize, methodName, elapsed_h, elapsed_n
"419235kb", 10000, 10, "benchmarkRedis", 2.8620173s, 2862017300
"838470kb", 10000, 10, "benchmarkRedis", 5.8777431s, 5877743100
"1257705kb", 10000, 10, "benchmarkRedis", 8.8788392s, 8878839200
"1676940kb", 10000, 10, "benchmarkRedis", 12.6447858s, 12644785800
keyName, totalWorkers, poolSize, methodName, elapsed_h, elapsed_n
"419235kb", 10000, 20, "benchmarkRedis", 3.091492s, 3091492000
"838470kb", 10000, 20, "benchmarkRedis", 5.5755926s, 5575592600
"1257705kb", 10000, 20, "benchmarkRedis", 8.4583295s, 8458329500
"1676940kb", 10000, 20, "benchmarkRedis", 11.6549658s, 11654965800
keyName, totalWorkers, poolSize, methodName, elapsed_h, elapsed_n
"419235kb", 10000, 30, "benchmarkRedis", 2.9049997s, 2904999700
"838470kb", 10000, 30, "benchmarkRedis", 5.518163s, 5518163000
"1257705kb", 10000, 30, "benchmarkRedis", 8.2829571s, 8282957100
"1676940kb", 10000, 30, "benchmarkRedis", 11.2641591s, 11264159100
keyName, totalWorkers, poolSize, methodName, elapsed_h, elapsed_n
"419235kb", 10000, 40, "benchmarkRedis", 2.8915276s, 2891527600
"838470kb", 10000, 40, "benchmarkRedis", 5.3940501s, 5394050100
"1257705kb", 10000, 40, "benchmarkRedis", 8.3506371s, 8350637100
"1676940kb", 10000, 40, "benchmarkRedis", 11.1516533s, 11151653300
keyName, totalWorkers, poolSize, methodName, elapsed_h, elapsed_n
"419235kb", 10000, 50, "benchmarkRedis", 2.9051255s, 2905125500
"838470kb", 10000, 50, "benchmarkRedis", 5.3135593s, 5313559300
"1257705kb", 10000, 50, "benchmarkRedis", 8.1644624s, 8164462400
"1676940kb", 10000, 50, "benchmarkRedis", 11.1517824s, 11151782400
keyName, totalWorkers, poolSize, methodName, elapsed_h, elapsed_n
"419235kb", 10000, 60, "benchmarkRedis", 2.8705957s, 2870595700
"838470kb", 10000, 60, "benchmarkRedis", 5.2865477s, 5286547700
"1257705kb", 10000, 60, "benchmarkRedis", 8.1116222s, 8111622200
"1676940kb", 10000, 60, "benchmarkRedis", 11.1422905s, 11142290500
keyName, totalWorkers, poolSize, methodName, elapsed_h, elapsed_n
"419235kb", 10000, 70, "benchmarkRedis", 2.8429781s, 2842978100
"838470kb", 10000, 70, "benchmarkRedis", 5.2350418s, 5235041800
"1257705kb", 10000, 70, "benchmarkRedis", 8.102907s, 8102907000
"1676940kb", 10000, 70, "benchmarkRedis", 10.9181711s, 10918171100
keyName, totalWorkers, poolSize, methodName, elapsed_h, elapsed_n
"419235kb", 10000, 80, "benchmarkRedis", 2.9033626s, 2903362600
"838470kb", 10000, 80, "benchmarkRedis", 5.2419999s, 5241999900
"1257705kb", 10000, 80, "benchmarkRedis", 7.9235515s, 7923551500
"1676940kb", 10000, 80, "benchmarkRedis", 10.8530524s, 10853052400
keyName, totalWorkers, poolSize, methodName, elapsed_h, elapsed_n
"419235kb", 10000, 90, "benchmarkRedis", 2.871s, 2871000000
"838470kb", 10000, 90, "benchmarkRedis", 5.1633873s, 5163387300
"1257705kb", 10000, 90, "benchmarkRedis", 7.9810497s, 7981049700
"1676940kb", 10000, 90, "benchmarkRedis", 10.9324897s, 10932489700
keyName, totalWorkers, poolSize, methodName, elapsed_h, elapsed_n
"419235kb", 10000, 100, "benchmarkRedis", 2.8445162s, 2844516200
"838470kb", 10000, 100, "benchmarkRedis", 5.3160069s, 5316006900
"1257705kb", 10000, 100, "benchmarkRedis", 8.0540388s, 8054038800
"1676940kb", 10000, 100, "benchmarkRedis", 10.7940236s, 10794023600
keyName, totalWorkers, poolSize, methodName, elapsed_h, elapsed_n
"419235kb", 20000, 10, "benchmarkRedis", 6.5740736s, 6574073600
"838470kb", 20000, 10, "benchmarkRedis", 11.8346239s, 11834623900
"1257705kb", 20000, 10, "benchmarkRedis", 18.4788207s, 18478820700
"1676940kb", 20000, 10, "benchmarkRedis", 25.2679863s, 25267986300
keyName, totalWorkers, poolSize, methodName, elapsed_h, elapsed_n
"419235kb", 20000, 20, "benchmarkRedis", 6.2900728s, 6290072800
"838470kb", 20000, 20, "benchmarkRedis", 11.4863729s, 11486372900
"1257705kb", 20000, 20, "benchmarkRedis", 18.2767075s, 18276707500
"1676940kb", 20000, 20, "benchmarkRedis", 24.6005897s, 24600589700
keyName, totalWorkers, poolSize, methodName, elapsed_h, elapsed_n
"419235kb", 20000, 30, "benchmarkRedis", 5.9000333s, 5900033300
"838470kb", 20000, 30, "benchmarkRedis", 10.6032703s, 10603270300
"1257705kb", 20000, 30, "benchmarkRedis", 16.7081151s, 16708115100
"1676940kb", 20000, 30, "benchmarkRedis", 22.3187613s, 22318761300
keyName, totalWorkers, poolSize, methodName, elapsed_h, elapsed_n
"419235kb", 20000, 40, "benchmarkRedis", 5.9428863s, 5942886300
"838470kb", 20000, 40, "benchmarkRedis", 10.6915617s, 10691561700
"1257705kb", 20000, 40, "benchmarkRedis", 16.4050661s, 16405066100
"1676940kb", 20000, 40, "benchmarkRedis", 22.3307304s, 22330730400
keyName, totalWorkers, poolSize, methodName, elapsed_h, elapsed_n
"419235kb", 20000, 50, "benchmarkRedis", 5.7999221s, 5799922100
"838470kb", 20000, 50, "benchmarkRedis", 10.3980332s, 10398033200
"1257705kb", 20000, 50, "benchmarkRedis", 16.2234125s, 16223412500
"1676940kb", 20000, 50, "benchmarkRedis", 22.2261434s, 22226143400
keyName, totalWorkers, poolSize, methodName, elapsed_h, elapsed_n
"419235kb", 20000, 60, "benchmarkRedis", 5.8180033s, 5818003300
"838470kb", 20000, 60, "benchmarkRedis", 10.256979s, 10256979000
"1257705kb", 20000, 60, "benchmarkRedis", 16.0898754s, 16089875400
"1676940kb", 20000, 60, "benchmarkRedis", 21.642719s, 21642719000
keyName, totalWorkers, poolSize, methodName, elapsed_h, elapsed_n
"419235kb", 20000, 70, "benchmarkRedis", 5.7560886s, 5756088600
"838470kb", 20000, 70, "benchmarkRedis", 10.3100718s, 10310071800
"1257705kb", 20000, 70, "benchmarkRedis", 16.1243588s, 16124358800
"1676940kb", 20000, 70, "benchmarkRedis", 21.5566849s, 21556684900
